Collection Name	Collection Alias	Items Owned By	Ownership Confirmed	Collection Uploaded By	Upload Confirmed	Collection Currently Managed By	Management Confirmed	Primary Contact Name	Primary Contact Email	Size of Collection (GB)	Total Number of Items in Collection	Types of Files in Collection	"""Users"" that include the Collection"	Other Notes about Collection
Mistick Krewe of Comus 1910 Float Designs	/p15140coll29	Tulane	From metadata								20		tudl; CDM\120701user15	Landing page not customized.
Mistick Krewe of Comus 1873 Missing Links Parade Costume Designs	/p15140coll3	Tulane	From metadata								101		tudl; CDM\120701user15; CDM\120701user23	Landing page not customized.
Registre Du Comite Medical De La Nouvelle Orleans, 1816-1854	/p15140coll34	Tulane	From Landing Page								234		tudl; nigelgbanks; CDM\120701user15 	
Louisiana Political Ephemera, 1860-1920	/p15140coll37	Tulane	From Landing Page								99		tudl; nigelgbanks; CDM\120701user15; sudap	Some broken thumbnails.
Leon Trice Louisiana Political Photographs	/p15140coll38	Tulane	From Landing Page								150		tudl; nigelgbanks; CDM\120701user15; sudap	
Newcomb College Scrapbooks	/p15140coll39	Tulane	From Landing Page								1706		nigelgbanks; sudap; CDM\120701user15	
Carnival Collection	/p15140coll40	Tulane	From Landing Page								5657		nigelgbanks; tudl; CDM\120701user15; CDM\120701user13; sudap; CDM\120701user23	When selected on collection list, 3 collections come up.
Essai d'Anatomie	/p15140coll45	Tulane	From Landing Page								28		tudl; nigelgbanks; CDM\120701user15; sudap	
Louisiana Sheet Music	/p15140coll47	Tulane	From Landing Page								630		labbott1@tulane.edu; tudl; nigelgbanks; CDM\120701user15; sudap; CDM\120701user04	
Menus, restaurant brochures, and food advertising flyers from the Louisiana Re	/p15140coll57	Tulane		DELETE							0		CDM\120701user12	
Louisiana Menu and Restaurant Collection	/p15140coll58	Tulane	From Landing Page								1046		tudl; nigelgbanks; CDM\120701user15; sudap	
Oral Histories of New Orleans Jazz	/p15140coll9	Tulane	From Landing Page								4		tudl; CDM\120701user15 	Unpublished; unlisted.
WTUL - a collection from Tulane University's independent radio station	/p16313coll11	Tulane	From Landing Page								231		tudl; nigelgbanks; sudap; CDM\120701user15	
Tulane University Theses and Dissertations Archive	/p16313coll12	Tulane	From Landing Page								4952		tudl; nigelgbanks; sudap; CDM\120701user15	Published; unlisted.
Tulane University Football Programs	/p16313coll13	Tulane	From Landing Page								187		tudl; nigelgbanks; sudap; CDM\120701user15	
Tulane University Band Historical Collection	/p16313coll14	Tulane	From Landing Page								296		tudl; nigelgbanks; sudap; CDM\120701user15	
Mexican Incunabula (1559-1600) at the Latin American Library	/p16313coll15	Tulane	From Landing Page								10		tudl; nigelgbanks; CDM\120701user15; sudap	
Early Images of Latin America	/p16313coll16	Tulane	From Landing Page								1680		chernand@tulane.edu; tudl; nigelgbanks; CDM\120701user15; sudap	
Tulane Library Speaker Series	/p16313coll27	Tulane	From Landing Page								8		nigelgbanks; sudap; CDM\120701user15	
French Colonial, Spanish Colonial, and Nineteenth-Century Louisiana Documents	/p16313coll29	Tulane	"From ""browse all"" page"								1510		nigelgbanks; CDM\120701user15; sudap	
Guiseppe Ferrata Score Collection	/p16313coll30	Tulane	From Landing Page								78		nigelgbanks; CDM\120701user15; sudap	
Hogan Jazz Archive Photography Collection	/p16313coll33	Tulane	From Landing Page								2492		awhebert; kblock1; nigelgbanks; CDM\120701user15; sudap	
Mesoamerican Painted Manuscripts at the Latin American Library	/p16313coll37	Tulane	From Landing Page								32		chernand@tulane.edu; nigelgbanks; CDM\120701user15; sudap	
24th General Hospital in World War II	/p16313coll38	Tulane	From Landing Page								134		CDM\120701user15; nigelgbanks; sudap	
Bourbon Street, 1944-1952	/p16313coll39	Tulane	From Landing Page								229		nigelgbanks; CDM\120701user15; sudap	
Ralston Crawford Collection of Jazz Photography	/p16313coll4	Tulane	From Landing Page								786		tudl; nigelgbanks; sudap; CDM\120701user15	
Collected Historical Documents from the A.P. Tureaud Papers	/p16313coll40	Tulane	"From ""browse all"" page"								0		CDM\120701user15; sudap	Not listed on collection list; not published; not found on new Tulane site
Images from the Civil War and Reconstruction	/p16313coll41	Tulane	From Landing Page								1061		nigelgbanks; CDM\120701user15; sudap	
Print Culture of the Civil Rights Movement, 1950-1980	/p16313coll42	Tulane	From Landing Page								169		nigelgbanks; sudap; CDM\120701user15	
Social Framework - Photographs by Marion Palfi, 1945-1960	/p16313coll46	Tulane	From Landing Page								246		nigelgbanks; sudap; CDM\120701user15 	
Amistad Research Center Oral History Collection	/p16313coll47	Tulane	From Landing Page								9		CDM\120701user15; sudap	
Cole Coleman Photographs	/p16313coll53	Tulane	From Landing Page								560		nigelgbanks; CDM\120701user15; sudap	
M. O. Gershenzon Archive	/p16313coll59	Tulane	From Landing Page								30		nigelgbanks; CDM\120701user15; sudap	
Jambalaya and T-Wave Yearbooks	/p16313coll6	Tulane	From Landing Page								134		tudl; nigelgbanks; CDM\120701user15; sudap	
The Crescent City Pictorial	/p16313coll63	Tulane	From Landing Page								36		nigelgbanks; sudap; CDM\120701user15	Single item
Sounds of Louisiana	/p16313coll64	Tulane	From Landing Page								35		nigelgbanks; sudap; CDM\120701user15 	
Sounding Translation	/p16313coll66	Tulane	From Landing Page								12		nigelgbanks; sudap; CDM\120701user15	
NOLA Hip Hop and Bounce Archive	/p16313coll68	Tulane	From Landing Page								124		nigelgbanks; sudap; CDM\120701user15 	
John Kennedy Toole Papers	/p16313coll71	Tulane	web search								202		nigelgbanks; CDM\120701user15; sudap	Unpublished; unlisted.
Black Natchez	/p16313coll73	Tulane	From Landing Page								1		CDM\120701user11; CDM\120701user23	
The Architect's Eye	/p16313coll75	Tulane	From Landing Page								116		nigelgbanks; sudap; CDM\120701user15	
Nicaraguan Presidential Papers	/p16313coll78	Tulane	From metadata								57		nigelgbanks; sudap; CDM\120701user15	Published; unlisted
OECS Test	/p16313coll82	Tulane	From Landing Page								3		gchattin@tulane.edu; CDM\120701user15	Unpublished; unlisted.
New Orleans Independent Music Digital Collection	/p16313coll84	Tulane	From Landing Page								37		bblue1; nigelgbanks; CDM\120701user15	Published; unlisted
Archives of Cajun and Creole Folklore	/ACC	ULL	Logical?								163		CDM\120701user16; CDM\120701user23	
L'Acadien Yearbooks	/p16313coll25	ULL	From Item Metadata								218		CDM\120701user16	Single compound object; Published; Unlisted.
Center for Louisiana Studies Archive	/LSA	ULL?	From Item Metadata								1237		CDM\120701user16; CDM\120701user23	No landing page; no customization.
Ernest J. Gaines Papers	/p16313coll26	ULL?	From Item Metadata	ULL	User list?						59		CDM\120701user16	Published, but only 3 items and no customization; Not listed
David R. Williams Collection	/p16313coll88	ULL?	User list?								0		gallaspy	Not published; Not listed
Southwestern Louisiana Institute Photographs, 1923-1940	/SIP	ULL?	User List?	ULL?	User list?						2524		CDM\120701user16; CDM\120701user23	Items owned by ULL but contact info is archives@louisiana.edu
Griffin 1932 Flood Collection	/p120701coll10	ULM	From Landing Page								310		CDM\120701user02; CDM\120701user18; CDM\120701user23	Listed on collection list, but when selected, nothing comes up.
Edna Tiny Tarbutton Collection	/p15140coll26	ULM	From Landing Page								934		CDM\120701user18	
Northeast Louisiana Historic Images Collection	/p15140coll27	ULM	From Landing Page								363		CDM\120701user18	
Andrew Augustus Gunby Photograph Collection	/p16313coll1	ULM	From Landing Page								419		CDM\120701user18	
Mary McMurran and Conner Family	/p16313coll43	ULM	From Landing Page								1416		CDM\120701user18	
Louisiana images from the Standard Oil Collection, Univ. of Louisville	/p16313coll52	University of Louisville University Libraries	From Landing Page	LSU	From Landing Page	LSU	User list?				2136		CDM\120701user04	Can we update the navigation bar?
Frank B. Moore Collection	/FBM	UNO	From Landing Page								545		CDM\120701user17; CDM\120701user23	
Higgins Industries	/HIC	UNO	From Landing Page								639		CDM\120701user17; CDM\120701user23	
University of New Orleans Electronic Theses and Dissertations	/NOD	UNO	From Landing Page								1194		CDM\120701user17; CDM\120701user23	Listed, but unpublished. [Has been deleted upon UNO's request 11/23/15]
Louisiana Hurricane Resources	/p120701coll13	UNO	From Landing Page								259		CDM\120701user17; CDM\120701user23	
Abe L. Shushan Collection	/p120701coll15	UNO	From Landing Page								424		CDM\120701user17; CDM\120701user23	
Arts Administration Master's Reports	/p120701coll21	UNO	From Landing Page								122		CDM\120701user17; CDM\120701user23	ATTENTION: This collection is in a new location and will soon be removed from this site. You may now access these and more current materials at http://scholarworks.uno.edu/aa_masters_rpts/. [Has been deleted upon UNO's request 11/23/15]
United States House and Senate Committee Hearings and Publications	/p120701coll25	UNO	From Landing Page								1569		CDM\120701user17; CDM\120701user23	
Telling-Grandon Scrapbook	/p120701coll8	UNO	From Landing Page								156		CDM\120701user17; CDM\120701user23	
Aleman Estate (Hathaway Gibbens) Collection	/p15140coll30	UNO	From Landing Page								214		CDM\120701user17	
Judge John Minor Wisdom Collection	/p15140coll31	UNO	From Landing Page								1438		CDM\120701user17	
Orleans Parish School Board Meeting Minutes	/p15140coll4	UNO	From Landing Page								7528		unodiglib@uno.edu; CDM\120701user17; CDM\120701user23	
Marcus Christian Collection	/p15140coll42	UNO	From Landing Page								49		CDM\120701user17	
The Southern Food and Beverage Museum Menus Collection	/p15140coll53	UNO	From Landing Page								0		CDM\120701user17 	Unpublished; unlisted; no items.
University of New Orleans Senior Honors Theses	/p15140coll7	UNO	From Landing Page								242		CDM\120701user17	
StoryCorps	/p16313coll2	UNO	From Landing Page								3261		CDM\120701user17 	
Louisiana Photographs Collection	/p16313coll22	UNO	From Landing Page								198		CDM\120701user17	Can the name of this collection change when it gets migrated? Because it's not nice to corner that particular market.
Charles V. Booth Collection	/p16313coll23	UNO	From Landing Page								859		CDM\120701user17 	Restricted to UNO's campus.
Rene Grandjean Collection - Seance Registers	/p16313coll61	UNO	From Landing Page								0		CDM\120701user17 	Published; unlisted; no items.
Louisiana Ephemera at the University of New Orleans	/p16313coll62	UNO	From Item Metadata								1		CDM\120701user17	Single object; published; listed.
Driftwood - Student newspapers at the University of New Orleans	/p16313coll7	UNO	In Title								8		CDM\120701user17	Not published; Not listed
Orleans Parish School Board Meeting Minutes -- Indexes	/p16313coll72	UNO	From Landing Page								117		unodiglib@uno.edu; CDM\120701user17	Published; unlisted
Ex Parte Plessy (Plessy v. Ferguson)	/p16313coll86	UNO	From Landing Page								159		CDM\120701user17	Not listed on collection list, but is published.
University of New Orleans Anniversary	/UNO_ANI	UNO	From Landing Page								277		CDM\120701user17; CDM\120701user23	
Joseph Bauer Family Album	/UNO_JBF	UNO	From Item Metadata								222		CDM\120701user17; CDM\120701user23	Single compound object.
UNO Historical Archives of the Supreme Court of Louisiana	/UNO_SCC	UNO	From Landing Page								22846		CDM\120701user17; CDM\120701user23	
UNO Test Collection	/p15140coll32	UNO?	Logical?								91		CDM\120701user17	Unpublished; unlisted.
University of New Orleans Yearbook	/p16313coll18	UNO?	Logical?								0		CDM\120701user17 	Unpublished; unlisted; no items.
Orleans Parish School Board Photographs	/p16313coll60	UNO?	Logical?	UNO	User list?						2416		unodiglib@uno.edu; CDM\120701user17	Unpublished; unlisted.
ZEEs TEST COLLECTION	/p15140coll5	ZeeZee	Logical?	DELETE							57		CDM\120701user23	Unpublished; unlisted.
